datetime,open,high,low,close,volume,trade_count,vwap
2025-02-10 05:00:00+00:00,604.02,605.49,602.74,604.84,541655.0,8311.0,604.437385
2025-02-11 05:00:00+00:00,602.56,605.85,602.47,605.23,634394.0,10230.0,604.469423
2025-02-12 05:00:00+00:00,599.215,604.53,598.53,603.28,877172.0,11767.0,602.330644
2025-02-13 05:00:00+00:00,604.49,609.93,603.24,609.69,798986.0,10316.0,607.455113
2025-02-14 05:00:00+00:00,609.94,610.98,609.08,609.57,667639.0,8997.0,610.149625
2025-02-18 05:00:00+00:00,610.885,611.36,608.415,611.36,555308.0,9535.0,610.035361
2025-02-19 05:00:00+00:00,610.055,613.22,609.59,612.94,671686.0,8670.0,611.642143
2025-02-20 05:00:00+00:00,611.54,611.64,607.07,610.41,733951.0,9270.0,609.105819
2025-02-21 05:00:00+00:00,610.21,610.21,599.49,600.02,1223794.0,15934.0,603.022571
2025-02-24 05:00:00+00:00,602.015,603.0,596.5,597.22,1180194.0,12519.0,599.114971
2025-02-25 05:00:00+00:00,597.13,597.86,589.6,594.31,1368586.0,16633.0,593.554161
2025-02-26 05:00:00+00:00,596.02,599.53,591.9,594.49,1049865.0,12037.0,595.673202
2025-02-27 05:00:00+00:00,596.88,597.99,584.655,585.03,1335087.0,14128.0,590.450876
2025-02-28 05:00:00+00:00,585.36,594.71,582.46,593.895,1490853.0,17515.0,587.735741
2025-03-03 05:00:00+00:00,596.18,597.325,579.92,583.94,2034081.0,26996.0,587.625819
2025-03-04 05:00:00+00:00,579.71,585.36,572.25,576.88,2371305.0,24611.0,577.75374
2025-03-05 05:00:00+00:00,576.65,584.85,573.13,583.02,1211279.0,16635.0,579.807007
2025-03-06 05:00:00+00:00,575.485,580.105,570.13,572.73,1476769.0,18543.0,573.935449
2025-03-07 05:00:00+00:00,570.905,577.36,565.665,575.76,1350334.0,14861.0,572.025943
2025-03-10 04:00:00+00:00,567.59,569.53,555.645,560.81,1820742.0,18059.0,562.369698
2025-03-11 04:00:00+00:00,559.27,562.84,552.1,556.08,1587148.0,17120.0,557.594089
2025-03-12 04:00:00+00:00,562.19,563.065,553.74,558.92,1132263.0,10816.0,558.980394
2025-03-13 04:00:00+00:00,558.395,559.025,549.76,551.6,1018954.0,12524.0,553.360502
2025-03-14 04:00:00+00:00,556.13,563.815,555.62,562.78,1296759.0,13257.0,560.754868
2025-03-17 04:00:00+00:00,562.815,569.695,562.43,567.02,1140417.0,11664.0,566.590675
2025-03-18 04:00:00+00:00,564.79,564.79,559.1,560.92,984856.0,9902.0,560.932797
2025-03-19 04:00:00+00:00,562.83,570.88,561.64,567.0,1007580.0,13448.0,566.053795
2025-03-20 04:00:00+00:00,563.135,570.55,562.69,565.69,774123.0,10030.0,566.592839
2025-03-21 04:00:00+00:00,559.21,564.855,558.08,564.17,924605.0,10074.0,561.521651
2025-03-24 04:00:00+00:00,570.76,575.125,570.29,574.02,1028407.0,13422.0,573.2344
2025-03-25 04:00:00+00:00,575.4,576.35,573.73,575.405,674306.0,9745.0,574.896227
2025-03-26 04:00:00+00:00,575.205,576.21,567.205,568.75,831506.0,10461.0,570.468085
2025-03-27 04:00:00+00:00,567.185,570.89,565.01,567.03,1047705.0,11586.0,568.276128
2025-03-28 04:00:00+00:00,565.375,566.26,555.09,555.7,1260717.0,14412.0,558.322727
2025-03-31 04:00:00+00:00,549.83,560.69,546.95,559.26,1468993.0,15826.0,554.72645
2025-04-01 04:00:00+00:00,557.45,562.88,553.69,561.1,1076799.0,11997.0,558.952472
2025-04-02 04:00:00+00:00,555.08,567.37,554.845,564.63,1048952.0,10202.0,562.965073
2025-04-03 04:00:00+00:00,545.13,547.95,536.91,537.3,2350996.0,23287.0,541.577054
2025-04-04 04:00:00+00:00,523.64,525.86,505.08,505.93,3094459.0,25037.0,514.234989
2025-04-07 04:00:00+00:00,489.14,523.04,481.83,504.45,3577704.0,29958.0,502.393092
2025-04-08 04:00:00+00:00,521.95,524.98,489.28,496.6,3104777.0,26279.0,506.875167
2025-04-09 04:00:00+00:00,494.72,546.28,493.08,542.955,3649876.0,27371.0,525.441178
2025-04-10 04:00:00+00:00,532.18,533.26,509.77,524.63,2645963.0,19733.0,523.027348
2025-04-11 04:00:00+00:00,522.99,536.42,520.07,534.0,1427501.0,11758.0,529.73286
2025-04-14 04:00:00+00:00,544.055,544.055,533.95,538.98,1116526.0,10147.0,539.867146
2025-04-15 04:00:00+00:00,539.67,543.19,536.89,537.64,902820.0,11710.0,539.564385
2025-04-16 04:00:00+00:00,531.645,535.07,520.32,525.73,1548125.0,16333.0,527.225651
2025-04-17 04:00:00+00:00,527.53,531.15,523.93,526.34,1001155.0,14915.0,527.6155
2025-04-21 04:00:00+00:00,521.19,521.64,508.46,513.96,1160426.0,13331.0,512.86502
2025-04-22 04:00:00+00:00,520.18,529.305,519.2,526.95,1403050.0,13483.0,525.161653
2025-04-23 04:00:00+00:00,540.45,545.29,533.9,535.29,1389218.0,14879.0,539.313137
2025-04-24 04:00:00+00:00,536.69,547.2,535.6,546.44,1150893.0,12555.0,543.993435
2025-04-25 04:00:00+00:00,547.32,550.98,543.78,550.55,1160843.0,12406.0,548.483136
2025-04-28 04:00:00+00:00,551.26,553.535,545.09,551.07,775242.0,7432.0,549.610093
2025-04-29 04:00:00+00:00,548.89,555.405,548.89,554.09,818179.0,9673.0,553.183388
2025-04-30 04:00:00+00:00,547.53,556.42,541.53,554.02,1219007.0,12860.0,549.27159
2025-05-01 04:00:00+00:00,560.41,563.995,557.88,558.4,945185.0,9084.0,561.000277
2025-05-02 04:00:00+00:00,564.74,568.35,562.4,566.56,1220035.0,11405.0,566.463486
2025-05-05 04:00:00+00:00,562.6,566.65,561.74,563.57,817825.0,9094.0,564.277206
2025-05-06 04:00:00+00:00,557.935,563.32,556.98,558.73,916763.0,9347.0,560.023582
2025-05-07 04:00:00+00:00,560.2,563.77,556.05,561.19,1044086.0,10339.0,560.180188
2025-05-08 04:00:00+00:00,565.28,570.29,561.72,564.97,1328826.0,14560.0,566.660491
2025-05-09 04:00:00+00:00,566.49,567.455,562.87,564.14,592738.0,6961.0,564.631658
2025-05-12 04:00:00+00:00,581.475,583.0,577.12,582.93,1353696.0,16592.0,580.501819
2025-05-13 04:00:00+00:00,583.46,589.04,582.905,586.76,888874.0,11094.0,587.210358
2025-05-14 04:00:00+00:00,587.83,588.965,585.545,587.45,974895.0,14301.0,587.354659
2025-05-15 04:00:00+00:00,585.58,590.94,585.1,590.41,1140264.0,12278.0,588.059693
2025-05-16 04:00:00+00:00,591.27,594.45,589.31,594.28,803596.0,8718.0,592.268351
2025-05-19 04:00:00+00:00,588.15,595.53,588.15,594.88,786544.0,8899.0,593.158915
2025-05-20 04:00:00+00:00,593.105,594.005,589.62,592.88,788847.0,10333.0,592.294967
2025-05-21 04:00:00+00:00,588.58,592.55,581.865,582.96,1970872.0,22679.0,586.668831
2025-05-22 04:00:00+00:00,582.655,586.61,581.49,583.06,1505879.0,17897.0,584.010567
2025-05-23 04:00:00+00:00,575.87,581.77,575.65,579.2,1589824.0,20157.0,578.709075
2025-05-27 04:00:00+00:00,586.09,591.29,584.47,591.06,1414236.0,16279.0,589.10183
2025-05-28 04:00:00+00:00,591.575,592.76,587.0,587.8,1125721.0,12496.0,589.695169
2025-05-29 04:00:00+00:00,593.1,593.1,586.26,589.95,1244862.0,15550.0,589.552521
2025-05-30 04:00:00+00:00,588.96,591.115,583.265,589.3,1732363.0,18321.0,587.88196
2025-06-02 04:00:00+00:00,587.76,592.79,585.1,592.79,1417425.0,16923.0,589.722419
2025-06-03 04:00:00+00:00,592.43,597.07,591.86,596.12,1206006.0,17243.0,595.182402
2025-06-04 04:00:00+00:00,596.985,597.92,595.56,595.98,963574.0,12576.0,596.992225
2025-06-05 04:00:00+00:00,597.66,598.93,591.07,593.08,1880521.0,18902.0,594.997028
2025-06-06 04:00:00+00:00,598.62,600.82,596.91,598.975,1317382.0,16873.0,599.284315
2025-06-09 04:00:00+00:00,599.75,601.25,598.52,599.43,745570.0,9529.0,600.02507
2025-06-10 04:00:00+00:00,600.335,603.465,599.15,603.1,954803.0,12227.0,601.680572
2025-06-11 04:00:00+00:00,604.18,605.04,599.275,601.59,1048022.0,14418.0,602.36539
2025-06-12 04:00:00+00:00,600.02,603.72,599.57,603.72,824021.0,13745.0,602.553171
2025-06-13 04:00:00+00:00,598.54,601.84,595.52,596.78,1120893.0,14487.0,598.389526
2025-06-16 04:00:00+00:00,600.43,604.45,600.24,602.705,1279004.0,14626.0,602.779749
2025-06-17 04:00:00+00:00,600.22,601.72,596.79,597.6,1203599.0,14555.0,599.192393
2025-06-18 04:00:00+00:00,598.405,601.21,596.5,597.52,1160837.0,14782.0,598.995574
2025-06-20 04:00:00+00:00,598.385,599.44,592.9,594.18,1141672.0,14517.0,595.232721
2025-06-23 04:00:00+00:00,595.07,600.53,591.91,600.08,1198286.0,15389.0,597.31134
2025-06-24 04:00:00+00:00,604.325,607.835,603.52,606.75,1154849.0,14205.0,606.182111
2025-06-25 04:00:00+00:00,607.91,608.45,605.73,607.2,1108399.0,14701.0,607.179516
2025-06-26 04:00:00+00:00,609.02,612.31,608.39,611.91,1338082.0,13696.0,611.052463
