datetime,open,high,low,close
2025-01-20,1.027739,1.042731,1.027739,1.027739
2025-01-21,1.042068,1.043406,1.034458,1.042068
2025-01-22,1.040594,1.045806,1.040074,1.040594
2025-01-23,1.041016,1.042546,1.038562,1.041016
2025-01-24,1.041602,1.051934,1.04132,1.041602
2025-01-27,1.046759,1.053375,1.045435,1.046759
2025-01-28,1.044506,1.045577,1.041526,1.044506
2025-01-29,1.042905,1.044495,1.038346,1.042905
2025-01-30,1.042525,1.046551,1.039134,1.042525
2025-01-31,1.039728,1.041233,1.036205,1.039728
2025-02-03,1.024779,1.032652,1.021304,1.024779
2025-02-04,1.032738,1.03868,1.027654,1.032738
2025-02-05,1.03728,1.043645,1.037043,1.03728
2025-02-06,1.040085,1.040529,1.035454,1.040085
2025-02-07,1.038573,1.040594,1.032461,1.038573
2025-02-10,1.031162,1.033602,1.029951,1.031162
2025-02-11,1.030153,1.035197,1.029273,1.030153
2025-02-12,1.036495,1.039566,1.031821,1.036495
2025-02-13,1.039199,1.044572,1.037926,1.039199
2025-02-14,1.046167,1.05137,1.044812,1.046167
2025-02-17,1.048922,1.050707,1.046737,1.048922
2025-02-18,1.048537,1.048647,1.044277,1.048537
2025-02-19,1.044834,1.046244,1.040507,1.044834
2025-02-20,1.042101,1.047878,1.041971,1.042101
2025-02-21,1.050056,1.050751,1.044998,1.050056
2025-02-24,1.047482,1.052864,1.045435,1.047482
2025-02-25,1.046134,1.051845,1.045795,1.046134
2025-02-26,1.05241,1.052742,1.047647,1.05241
2025-02-27,1.048878,1.048988,1.040485,1.048878
2025-02-28,1.039512,1.042101,1.038184,1.039512
2025-03-03,1.041385,1.050023,1.039047,1.041385
2025-03-04,1.048504,1.055955,1.047175,1.048504
2025-03-05,1.062699,1.078586,1.060288,1.062699
2025-03-06,1.079494,1.085105,1.078249,1.079494
2025-03-07,1.078795,1.088566,1.078214,1.078795
2025-03-10,1.086059,1.087347,1.080625,1.086059
2025-03-11,1.08394,1.093028,1.083682,1.08394
2025-03-12,1.091417,1.093458,1.087725,1.091417
2025-03-13,1.088625,1.089918,1.082298,1.088625
2025-03-14,1.085564,1.091012,1.08313,1.085564
2025-03-17,1.088127,1.092896,1.086921,1.088127
2025-03-18,1.091918,1.095446,1.089704,1.091918
2025-03-19,1.093948,1.094571,1.087595,1.093948
2025-03-20,1.091191,1.091751,1.08183,1.091191
2025-03-21,1.08567,1.08613,1.080567,1.08567
2025-03-24,1.083576,1.085694,1.079075,1.083576
2025-03-25,1.080357,1.083072,1.077865,1.080357
2025-03-26,1.078749,1.080229,1.076878,1.078749
2025-03-27,1.074206,1.081876,1.074206,1.074206
2025-03-28,1.0801,1.084528,1.076589,1.0801
2025-03-31,1.082392,1.084846,1.078574,1.082392
2025-04-01,1.081888,1.083072,1.077958,1.081888
2025-04-02,1.079599,1.087264,1.078202,1.079599
2025-04-03,1.090869,1.11334,1.088246,1.090869
2025-04-04,1.10437,1.11075,1.096479,1.10437
2025-04-07,1.098454,1.10498,1.090322,1.098454
2025-04-08,1.091536,1.099191,1.089194,1.091536
2025-04-09,1.098044,1.10948,1.097225,1.098044
2025-04-10,1.095206,1.12254,1.095206,1.095206
2025-04-11,1.12578,1.14718,1.12509,1.12578
2025-04-14,1.13431,1.14248,1.12997,1.13431
2025-04-15,1.13397,1.13779,1.12857,1.13397
2025-04-16,1.12927,1.13902,1.12927,1.12927
2025-04-17,1.13968,1.13968,1.13413,1.13968
2025-04-22,1.15128,1.15465,1.1454,1.15128
2025-04-23,1.13513,1.14401,1.1338,1.13513
2025-04-24,1.13273,1.13943,1.13223,1.13273
2025-04-25,1.13719,1.13843,1.13162,1.13719
2025-04-28,1.13431,1.14082,1.13311,1.13431
2025-04-29,1.14091,1.14196,1.13714,1.14091
2025-04-30,1.13893,1.13989,1.13271,1.13893
2025-05-01,1.13249,1.1341,1.1267,1.13249
2025-05-02,1.12965,1.13786,1.12752,1.12965
2025-05-05,1.13232,1.13645,1.13129,1.13232
2025-05-06,1.13134,1.13612,1.12812,1.13134
2025-05-07,1.13428,1.13777,1.13271,1.13428
2025-05-08,1.13062,1.13367,1.12361,1.13062
2025-05-09,1.12242,1.12911,1.11998,1.12242
